Giocatore,Team,Role,Score_norm,Prob_Gol,Pred_Gol_Pesata,Etichetta_Predetta
matteo guendouzi,Lazio,C,0.5549007973021652,0.0463,0.0736,non consigliato
nicolas viola,Cagliari,C,0.5512699491542781,0.1229,0.1111,non consigliato
marco brescianini,Frosinone,C,0.5463870326944722,0.0749,0.1175,non consigliato
samuele ricci,Torino,C,0.5446372192948832,0.0213,0.0611,non consigliato
roberto pereyra,Udinese,C,0.5441680791118274,0.1073,0.0986,non consigliato
kristjan asllani,Inter,C,0.5402988430453615,0.0213,0.0611,non consigliato
marten de roon,Atalanta,C,0.5402941797835493,0.0,0.0,non consigliato
nahitan nandez,Cagliari,C,0.5381050385756043,0.0463,0.1028,sorpresa
razvan marin,Empoli,C,0.5358576940183092,0.0,0.0,non consigliato
valentin carboni,Monza,C,0.5343029826889025,0.0749,0.0861,non consigliato
davide frattesi,Inter,C,0.5335925583046782,0.1831,0.1528,consigliato
michel aebischer,Bologna,C,0.5320367732114135,0.0,0.0,non consigliato
tomas suslov,Verona,C,0.5303053228194105,0.3327,0.1375,consigliato
matias vecino,Lazio,C,0.5286469109969563,0.1603,0.215,consigliato
enzo barrenechea,Frosinone,C,0.5240230513814849,0.0,0.0,non consigliato
maxime lopez,Fiorentina,C,0.520438778255191,0.0,0.0,non consigliato
grigoris kastanos,Salernitana,C,0.5199983499417313,0.0749,0.0861,non consigliato
milan badelj,Genoa,C,0.5165731358007173,0.0213,0.0903,sorpresa
rolando mandragora,Fiorentina,C,0.5139622049274291,0.0599,0.0861,non consigliato
